concept,layer,drift
machine,0,0.0
machine,1,0.00789785385131836
machine,2,0.014506995677947998
machine,3,0.01724773645401001
machine,4,0.0238073468208313
machine,5,0.03318428993225098
machine,6,0.007761597633361816
power,0,5.960464477539063e-08
power,1,0.00906747579574585
power,2,0.017066597938537598
power,3,0.017259180545806885
power,4,0.02715015411376953
power,5,0.040678977966308594
power,6,0.007167339324951172
flight,0,-1.1920928955078125e-07
flight,1,0.010449051856994629
flight,2,0.020019233226776123
flight,3,0.02133995294570923
flight,4,0.025496065616607666
flight,5,0.03849470615386963
flight,6,0.006883442401885986
weapon,0,0.0
weapon,1,0.00748288631439209
weapon,2,0.014042973518371582
weapon,3,0.017110824584960938
weapon,4,0.024135231971740723
weapon,5,0.04171496629714966
weapon,6,0.008119940757751465
energy,0,5.960464477539063e-08
energy,1,0.008392512798309326
energy,2,0.019830644130706787
energy,3,0.022094905376434326
energy,4,0.031101763248443604
energy,5,0.041812241077423096
energy,6,0.009204328060150146
vision,0,0.0
vision,1,0.010888636112213135
vision,2,0.01950019598007202
vision,3,0.021820425987243652
vision,4,0.029517829418182373
vision,5,0.05346798896789551
vision,6,0.008558809757232666
future,0,-1.1920928955078125e-07
future,1,0.006003975868225098
future,2,0.015776216983795166
future,3,0.01714038848876953
future,4,0.024673402309417725
future,5,0.03455477952957153
future,6,0.009003043174743652
science,0,5.960464477539063e-08
science,1,0.007794499397277832
science,2,0.016454637050628662
science,3,0.018010318279266357
science,4,0.022054731845855713
science,5,0.03611481189727783
science,6,0.012870490550994873
